GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201101070001,2011-01-07,"United States","Washington","Unknown",0,,,,,0,0,Government (General),,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201101060019,2011-01-06,"United States","Hanover","Unknown",0,,,,,0,1,Government (General),,,North America,Armed Assault,,,Incendiary,,,
201101060018,2011-01-06,"United States","Annapolis","Unknown",0,,,,,0,1,Government (General),,,North America,Armed Assault,,,Incendiary,,,
201012070019,2010-12-07,"Mexico","Mexico City","Earth Liberation Front (ELF)",1,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201011160004,2010-11-16,"United States","Los Angeles","The Justice Department",0,,,,,0,0,Educational Institution,,,North America,Unarmed Assault,,,Biological,,,
201011070008,2010-11-07,"Mexico","Guadalajara","Animal Liberation Front (ALF)",0,,,,,0,0,Government (General),,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201011000001,2010-11-00,"United States","Woodbridge","Jihadi-inspired extremists",0,,,,,0,0,Military,,,North America,Facility/Infrastructure Attack,,,Firearms,,,
201010250026,2010-10-25,"United States","Chantilly","Jihadi-inspired extremists",0,,,,,0,0,Military,,,North America,Facility/Infrastructure Attack,,,Firearms,,,
201010190014,2010-10-19,"United States","Arlington","Jihadi-inspired extremists",0,,,,,0,0,Government (General),,,North America,Facility/Infrastructure Attack,,,Firearms,,,
201010000002,2010-10-00,"United States","Triangle","Jihadi-inspired extremists",0,,,,,0,0,NGO,,,North America,Facility/Infrastructure Attack,,,Firearms,,,
201010000001,2010-10-00,"United States","Triangle","Jihadi-inspired extremists",0,,,,,0,0,NGO,,,North America,Facility/Infrastructure Attack,,,Firearms,,,
201009010022,2010-09-01,"United States","Silver Spring","Unknown",0,,,,,1,0,Journalists & Media,,,North America,Hostage Taking (Barricade Incident),,,Explosives/Bombs/Dynamite,Fake Weapons,,
201008100001,2010-08-10,"Canada","Edmonton","Unknown",0,,,,,0,0,Unknown,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201007270013,2010-07-27,"United States","Astoria","Animal Liberation Front (ALF)",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201007070017,2010-07-07,"United States","Sandy","Animal Liberation Front (ALF)",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201006050014,2010-06-05,"United States","Salt Lake City","Animal Liberation Front (ALF)",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201005230003,2010-05-23,"Mexico","Guadalajara","Animal Liberation Front (ALF)",0,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201005180016,2010-05-18,"Canada","Ottawa","Fighting For Freedom Coalition (FFFC-Ottawa)",0,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201005120016,2010-05-12,"Mexico","Leon","Animal Liberation Front (ALF)",0,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Fake Weapons,,,
201005100042,2010-05-10,"United States","Jacksonville","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201005010001,2010-05-01,"United States","New York City","Tehrik-i-Taliban Pakistan (TTP)",0,,,,,0,0,Private Citizens & Property,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201004300006,2010-04-30,"United States","Denver","Animal Liberation Front (ALF)",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201003230023,2010-03-23,"Mexico","Mitzitón","Zapatista National Liberation Army",1,,,,,0,0,Private Citizens & Property,,,North America,Hostage Taking (Kidnapping),Facility/Infrastructure Attack,,Unknown,,,
201003040016,2010-03-04,"United States","Arlington","Anti-Government extremists",1,,,,,1,2,Government (General),,,North America,Armed Assault,,,Firearms,,,
201002250007,2010-02-25,"United States","New York City","Unknown",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201002180013,2010-02-18,"United States","Austin","Anti-Government extremists",0,,,,,2,15,Government (General),,,North America,Facility/Infrastructure Attack,,,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs),,,
201002170017,2010-02-17,"United States","Clearwater","Unknown",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Chemical,,,
200912250024,2009-12-25,"United States","Detroit","Al-Qaida in the Arabian Peninsula (AQAP)",0,,,,,0,2,Airports and Aircraft,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200911060002,2009-11-05,"United States","Killeen","Jihadi-inspired extremists",0,,,,,13,32,Military,,,North America,Armed Assault,,,Firearms,,,
200909040003,2009-09-04,"United States","Everett","Earth Liberation Front (ELF)",0,,,,,0,0,Telecommunication,,,North America,Facility/Infrastructure Attack,,,Sabotage Equipment,,,
200908240016,2009-08-24,"United States","San Mateo","Unknown",0,,,,,0,0,Educational Institution,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Melee,,
200907040008,2009-07-04,"Canada","Dawson Creek","Unknown",0,,,,,0,0,Utilities,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200907030004,2009-07-03,"United States","Huntington Beach","Unknown",0,,,,,0,5,Private Citizens & Property,,,North America,Armed Assault,,,Melee,Melee,,
200907010004,2009-07-01,"Canada","Pouce Coupe","Unknown",0,,,,,0,0,Utilities,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200906250012,2009-06-25,"Mexico","Benito Juarez","Unknown",0,,,,,2,3,Government (General),,,North America,Assassination,,,Firearms,,,
